name,output,confidence,reason,check_frame
233_千岛湖_玩水互动_裁剪分割__CV022_S027.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\233_千岛湖_玩水互动_裁剪分割__CV022_S027__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=13.4% h=57.2%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0079.jpg
237_千岛湖_玩水互动_裁剪分割__CV022_S031.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\237_千岛湖_玩水互动_裁剪分割__CV022_S031__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=53.3%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0083.jpg
239_千岛湖_玩水互动_裁剪分割__CV022_S033.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\239_千岛湖_玩水互动_裁剪分割__CV022_S033__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=12.9% h=57.2%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0085.jpg
240_千岛湖_玩水互动_裁剪分割__CV022_S034.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\240_千岛湖_玩水互动_裁剪分割__CV022_S034__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=53.1%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0086.jpg
242_千岛湖_玩水互动_裁剪分割__CV022_S036.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\242_千岛湖_玩水互动_裁剪分割__CV022_S036__裁切废料.mp4,0.95,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=4.1% h=66.7%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0088.jpg
244_千岛湖_玩水互动_裁剪分割__CV022_S038.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\244_千岛湖_玩水互动_裁剪分割__CV022_S038__裁切废料.mp4,0.58,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=62.0%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0090.jpg
245_千岛湖_玩水互动_裁剪分割__CV022_S039.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\245_千岛湖_玩水互动_裁剪分割__CV022_S039__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=5.3% h=65.5%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0091.jpg
246_千岛湖_玩水互动_裁剪分割__CV022_S040.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\246_千岛湖_玩水互动_裁剪分割__CV022_S040__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=53.3%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0092.jpg
247_千岛湖_玩水互动_裁剪分割__CV022_S041.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\247_千岛湖_玩水互动_裁剪分割__CV022_S041__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=5.3% h=65.8%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0093.jpg
248_千岛湖_玩水互动_裁剪分割__CV022_S042.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\248_千岛湖_玩水互动_裁剪分割__CV022_S042__裁切废料.mp4,0.58,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=80.6%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0094.jpg
249_千岛湖_玩水互动_裁剪分割__CV022_S043.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\249_千岛湖_玩水互动_裁剪分割__CV022_S043__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=15.7% h=63.9%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0095.jpg
250_千岛湖_玩水互动_裁剪分割__CV022_S044.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\250_千岛湖_玩水互动_裁剪分割__CV022_S044__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=7.6% h=54.6%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0096.jpg
251_千岛湖_玩水互动_裁剪分割__CV022_S045.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\251_千岛湖_玩水互动_裁剪分割__CV022_S045__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=10.3% h=62.0%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0097.jpg
252_千岛湖_玩水互动_裁剪分割__CV022_S046.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\252_千岛湖_玩水互动_裁剪分割__CV022_S046__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=71.7%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0098.jpg
253_千岛湖_玩水互动_裁剪分割__CV026_S006.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\253_千岛湖_玩水互动_裁剪分割__CV026_S006__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=7.4% h=69.4%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0099.jpg
254_千岛湖_玩水互动_裁剪分割__CV026_S007.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\254_千岛湖_玩水互动_裁剪分割__CV026_S007__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=18.0% h=61.1%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0100.jpg
255_千岛湖_玩水互动_裁剪分割__CV026_S008.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\255_千岛湖_玩水互动_裁剪分割__CV026_S008__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=3.9% h=73.7%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0101.jpg
256_千岛湖_玩水互动_裁剪分割__CV026_S009.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\256_千岛湖_玩水互动_裁剪分割__CV026_S009__裁切废料.mp4,0.74,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=3.7% h=73.6%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0102.jpg
258_千岛湖_玩水互动_裁剪分割__CV026_S011.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\258_千岛湖_玩水互动_裁剪分割__CV026_S011__裁切废料.mp4,0.95,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=18.0% h=59.0%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0104.jpg
260_千岛湖_玩水互动_裁剪分割__CV026_S013.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\260_千岛湖_玩水互动_裁剪分割__CV026_S013__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=18.0% h=58.3%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0106.jpg
261_千岛湖_玩水互动_裁剪分割__CV026_S014.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\261_千岛湖_玩水互动_裁剪分割__CV026_S014__裁切废料.mp4,0.58,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=16.9% h=45.0%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0107.jpg
263_千岛湖_玩水互动_裁剪分割__CV026_S016.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\263_千岛湖_玩水互动_裁剪分割__CV026_S016__裁切废料.mp4,0.74,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=12.0% h=51.4%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0109.jpg
