library,path,relative_path,width,height,duration,size_mb,mtime
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景\009_安吉_安吉风景__A_V006_S004.mp4,01_环境空镜\安吉风景\009_安吉_安吉风景__A_V006_S004.mp4,720,490,0.933,0.169,2026-07-03T14:03:17
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景\010_安吉_安吉风景__S_V006_S007.mp4,01_环境空镜\安吉风景\010_安吉_安吉风景__S_V006_S007.mp4,720,488,1.3,0.119,2026-07-03T14:03:19
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景\011_安吉_安吉风景__S_V006_S008.mp4,01_环境空镜\安吉风景\011_安吉_安吉风景__S_V006_S008.mp4,720,488,0.933,0.067,2026-07-03T14:03:20
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景\012_安吉_安吉风景__A_V009_S018.mp4,01_环境空镜\安吉风景\012_安吉_安吉风景__A_V009_S018.mp4,720,548,0.9,0.055,2026-07-03T14:03:21
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景\015_安吉_安吉风景__S_V010_S035.mp4,01_环境空镜\安吉风景\015_安吉_安吉风景__S_V010_S035.mp4,720,562,2.033,0.197,2026-07-03T14:03:25
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景俯拍\001_安吉_安吉风景俯拍__S_V001_S001.mp4,01_环境空镜\安吉风景俯拍\001_安吉_安吉风景俯拍__S_V001_S001.mp4,720,454,1.2,0.126,2026-07-03T14:03:26
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景俯拍\002_安吉_安吉风景俯拍__A_V001_S002.mp4,01_环境空镜\安吉风景俯拍\002_安吉_安吉风景俯拍__A_V001_S002.mp4,720,410,1.1,0.112,2026-07-03T14:03:28
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景俯拍\003_安吉_安吉风景俯拍__S_V001_S003.mp4,01_环境空镜\安吉风景俯拍\003_安吉_安吉风景俯拍__S_V001_S003.mp4,720,410,2.567,0.319,2026-07-03T14:03:30
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景俯拍\004_安吉_安吉风景俯拍__S_V001_S004.mp4,01_环境空镜\安吉风景俯拍\004_安吉_安吉风景俯拍__S_V001_S004.mp4,720,364,0.867,0.08,2026-07-03T14:03:32
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景俯拍\005_安吉_安吉风景俯拍__S_V001_S005.mp4,01_环境空镜\安吉风景俯拍\005_安吉_安吉风景俯拍__S_V001_S005.mp4,720,364,0.767,0.144,2026-07-03T14:03:33
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景俯拍\006_安吉_安吉风景俯拍__S_V001_S006.mp4,01_环境空镜\安吉风景俯拍\006_安吉_安吉风景俯拍__S_V001_S006.mp4,720,408,1.267,0.076,2026-07-03T14:03:35
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景俯拍\007_安吉_安吉风景俯拍__S_V002_S010.mp4,01_环境空镜\安吉风景俯拍\007_安吉_安吉风景俯拍__S_V002_S010.mp4,720,374,2.2,0.24,2026-07-03T14:03:37
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景俯拍\008_安吉_安吉风景俯拍__S_V002_S011_待人工确认.mp4,01_环境空镜\安吉风景俯拍\008_安吉_安吉风景俯拍__S_V002_S011_待人工确认.mp4,720,404,0.833,0.108,2026-07-03T14:03:39
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景俯拍\009_安吉_安吉风景俯拍__S_V003_S002.mp4,01_环境空镜\安吉风景俯拍\009_安吉_安吉风景俯拍__S_V003_S002.mp4,720,484,1.1,0.026,2026-07-03T14:03:40
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景俯拍\010_安吉_安吉风景俯拍__S_V003_S003.mp4,01_环境空镜\安吉风景俯拍\010_安吉_安吉风景俯拍__S_V003_S003.mp4,720,484,3.133,0.329,2026-07-03T14:03:42
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\安吉风景俯拍\011_安吉_安吉风景俯拍__S_V010_S032.mp4,01_环境空镜\安吉风景俯拍\011_安吉_安吉风景俯拍__S_V010_S032.mp4,720,516,1.533,0.162,2026-07-03T14:03:44
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\峡谷瀑布空镜\001_安吉_峡谷瀑布空镜__S_V008_S016.mp4,01_环境空镜\峡谷瀑布空镜\001_安吉_峡谷瀑布空镜__S_V008_S016.mp4,720,608,1.3,0.487,2026-07-03T14:03:45
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\峡谷瀑布空镜\002_安吉_峡谷瀑布空镜__S_V008_S017.mp4,01_环境空镜\峡谷瀑布空镜\002_安吉_峡谷瀑布空镜__S_V008_S017.mp4,720,448,0.6,0.295,2026-07-03T14:03:47
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\01_环境空镜\竹林风景\001_安吉_竹林风景__A_V003_S007.mp4,01_环境空镜\竹林风景\001_安吉_竹林风景__A_V003_S007.mp4,720,346,2.033,0.104,2026-07-03T14:03:49
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\02_出发抵达\大巴集合出发\002_安吉_大巴集合出发__S_V008_S010.mp4,02_出发抵达\大巴集合出发\002_安吉_大巴集合出发__S_V008_S010.mp4,720,560,2.1,0.554,2026-07-03T14:03:54
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\02_出发抵达\大巴集合出发\004_安吉_大巴集合出发__S_V010_S001.mp4,02_出发抵达\大巴集合出发\004_安吉_大巴集合出发__S_V010_S001.mp4,720,544,2.1,0.489,2026-07-03T14:03:58
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\02_出发抵达\山路抵达\001_安吉_山路抵达__S_V011_S002.mp4,02_出发抵达\山路抵达\001_安吉_山路抵达__S_V011_S002.mp4,720,684,4.3,0.361,2026-07-03T14:04:02
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\03_住宿空间\民宿外观\001_安吉_民宿外观__S_V011_S010.mp4,03_住宿空间\民宿外观\001_安吉_民宿外观__S_V011_S010.mp4,720,608,3.0,0.093,2026-07-03T14:04:11
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\03_住宿空间\民宿庭院\005_安吉_民宿庭院__S_V004_S009.mp4,03_住宿空间\民宿庭院\005_安吉_民宿庭院__S_V004_S009.mp4,1080,746,1.9,0.431,2026-07-03T14:04:13
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\03_住宿空间\民宿庭院\006_安吉_民宿庭院__S_V004_S010.mp4,03_住宿空间\民宿庭院\006_安吉_民宿庭院__S_V004_S010.mp4,1080,750,1.8,0.317,2026-07-03T14:04:15
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\03_住宿空间\民宿庭院\007_安吉_民宿庭院__S_V004_S011.mp4,03_住宿空间\民宿庭院\007_安吉_民宿庭院__S_V004_S011.mp4,1080,746,1.3,0.29,2026-07-03T14:04:16
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\03_住宿空间\民宿庭院\008_安吉_民宿庭院__S_V004_S012.mp4,03_住宿空间\民宿庭院\008_安吉_民宿庭院__S_V004_S012.mp4,1080,746,1.467,0.137,2026-07-03T14:04:18
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\03_住宿空间\温泉别墅\001_安吉_温泉别墅__A_V003_S012.mp4,03_住宿空间\温泉别墅\001_安吉_温泉别墅__A_V003_S012.mp4,720,480,2.1,0.082,2026-07-03T14:04:23
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\03_住宿空间\酒店民宿房间\001_安吉_酒店民宿房间__S_V008_S029.mp4,03_住宿空间\酒店民宿房间\001_安吉_酒店民宿房间__S_V008_S029.mp4,720,626,2.033,0.152,2026-07-03T14:04:25
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\03_住宿空间\酒店民宿房间\002_安吉_酒店民宿房间__S_V008_S030.mp4,03_住宿空间\酒店民宿房间\002_安吉_酒店民宿房间__S_V008_S030.mp4,720,532,1.9,0.205,2026-07-03T14:04:26
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\03_住宿空间\酒店民宿房间\003_安吉_酒店民宿房间__S_V010_S029.mp4,03_住宿空间\酒店民宿房间\003_安吉_酒店民宿房间__S_V010_S029.mp4,720,340,1.7,0.109,2026-07-03T14:04:28
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\04_餐饮美食\下午茶点\001_安吉_下午茶点__A_V004_S013.mp4,04_餐饮美食\下午茶点\001_安吉_下午茶点__A_V004_S013.mp4,1080,750,1.333,0.104,2026-07-03T14:04:29
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\04_餐饮美食\水果饮品\001_安吉_水果饮品__S_V010_S004.mp4,04_餐饮美食\水果饮品\001_安吉_水果饮品__S_V010_S004.mp4,720,576,0.7,0.309,2026-07-03T14:04:31
D:\Download\素材下载\团建视频\安吉智能镜头分类,D:\Download\素材下载\团建视频\安吉智能镜头分类\04_餐饮美食\水果饮品\002_安吉_水果饮品__S_V010_S005.mp4,04_餐饮美食\水果饮品\002_安吉_水果饮品__S_V010_S005.mp4,720,544,0.733,0.218,2026-07-03T14:04:32
