"name","output","confidence","rect","reason"
"067_千岛湖_餐饮美食_裁剪分割__CV013_S009.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\裁切废料\067_千岛湖_餐饮美食_裁剪分割__CV013_S009__裁切废料.mp4","0.7","@{x=0; y=17.942; w=100; h=58.253}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=58.3%（含黑边检测）"
"069_千岛湖_餐饮美食_裁剪分割__CV014_S001.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\裁切废料\069_千岛湖_餐饮美食_裁剪分割__CV014_S001__裁切废料.mp4","0.95","@{x=0; y=5.151; w=100; h=72.053}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=5.2% h=72.1%（含黑边检测）"
"001_千岛湖_千岛湖鱼宴__S_V003_S030.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\千岛湖鱼宴\裁切废料\001_千岛湖_千岛湖鱼宴__S_V003_S030__裁切废料.mp4","0.95","@{x=0; y=16.821; w=100; h=63.577}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=16.8% h=63.6%（含黑边检测）"
"001_千岛湖_水上乐园__S_V003_S004.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\水上乐园\裁切废料\001_千岛湖_水上乐园__S_V003_S004__裁切废料.mp4","0.58","@{x=0; y=0.0; w=100; h=79.47}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=79.5%（含黑边检测）"
"002_千岛湖_水上乐园__S_V003_S010.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\水上乐园\裁切废料\002_千岛湖_水上乐园__S_V003_S010__裁切废料.mp4","0.9","@{x=0; y=0.0; w=100; h=67.329}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=67.3%（含黑边检测）"
"002_千岛湖_游艇游湖__S_V003_S009.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\裁切废料\002_千岛湖_游艇游湖__S_V003_S009__裁切废料.mp4","0.74","@{x=0; y=0.0; w=100; h=78.796}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=78.8%（含黑边检测）"
"001_千岛湖_湖边骑行__S_V003_S027.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\湖边骑行\裁切废料\001_千岛湖_湖边骑行__S_V003_S027__裁切废料.mp4","0.9","@{x=0; y=0.0; w=100; h=73.54}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=73.5%（含黑边检测）"
"210_千岛湖_玩水互动_裁剪分割__CV022_S004.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\210_千岛湖_玩水互动_裁剪分割__CV022_S004__裁切废料.mp4","0.58","@{x=0; y=0.0; w=100; h=70.812}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=70.8%（含黑边检测）"
"211_千岛湖_玩水互动_裁剪分割__CV022_S005.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\211_千岛湖_玩水互动_裁剪分割__CV022_S005__裁切废料.mp4","0.58","@{x=0; y=0.0; w=100; h=71.157}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=71.2%（含黑边检测）"
"212_千岛湖_玩水互动_裁剪分割__CV022_S006.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\212_千岛湖_玩水互动_裁剪分割__CV022_S006__裁切废料.mp4","0.58","@{x=0; y=0.0; w=100; h=66.682}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=66.7%（含黑边检测）"
"213_千岛湖_玩水互动_裁剪分割__CV022_S007.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\213_千岛湖_玩水互动_裁剪分割__CV022_S007__裁切废料.mp4","0.7","@{x=0; y=4.475; w=100; h=66.337}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=4.5% h=66.3%（含黑边检测）"
"214_千岛湖_玩水互动_裁剪分割__CV022_S008.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\214_千岛湖_玩水互动_裁剪分割__CV022_S008__裁切废料.mp4","0.7","@{x=0; y=6.024; w=100; h=64.788}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=6.0% h=64.8%（含黑边检测）"
"215_千岛湖_玩水互动_裁剪分割__CV022_S009.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\215_千岛湖_玩水互动_裁剪分割__CV022_S009__裁切废料.mp4","0.58","@{x=0; y=14.453; w=100; h=56.359}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=14.5% h=56.4%（含黑边检测）"
"216_千岛湖_玩水互动_裁剪分割__CV022_S010.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\216_千岛湖_玩水互动_裁剪分割__CV022_S010__裁切废料.mp4","0.7","@{x=0; y=0.0; w=100; h=70.812}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=70.8%（含黑边检测）"
